,opstilling,Color,Result
0,20,#a70057,-0.31717382242601083
1,21,#ad0051,-0.364647527431234
2,22,#aa0054,-0.3339260108976197
3,23,#ae0050,-0.3724464301460862
4,24,#d2002c,-0.6542335735659797
5,25,#c3003b,-0.5346783928263494
6,26,#b3004b,-0.40446607003214874
7,27,#af004f,-0.37854500616522807
8,28,#bc0042,-0.47918481100853505
9,29,#a0005e,-0.25959868224019167
10,30,#990065,-0.20463344969850844
11,31,#84007a,-0.03826194036414815
12,32,#670097,0.18976126015259664
13,33,#83007b,-0.033523495853672924
14,34,#9e0060,-0.24518204039624342
15,35,#9d0061,-0.23718175836412408
16,36,#9a0064,-0.21066116527468143
17,37,#980066,-0.19699989510122728
18,38,#980066,-0.19467538084482672
19,39,#94006a,-0.1625292964079017
20,40,#880076,-0.07367982718684124
21,41,#690095,0.17142997446474167
22,42,#790085,0.04339876496360434
23,43,#7e0080,0.009822612732095504
24,44,#80007e,-0.01061140055163956
25,45,#70008e,0.12145162225357015
26,46,#8d0071,-0.11223263638548425
27,47,#82007c,-0.026743822333437584
28,48,#8d0071,-0.11021387167699381
29,49,#84007a,-0.03701363660295898
30,50,#8c0072,-0.1055705454421258
31,51,#860078,-0.054962068431645805
32,52,#760088,0.06749785038693035
33,53,#7e0080,0.0062872745562980725
34,54,#6b0093,0.15596861906035486
35,55,#890075,-0.08007194244604321
36,56,#82007c,-0.020574445810005004
37,57,#7b0083,0.03461486368825334
38,58,#7c0082,0.01983705278072967
39,59,#7a0084,0.03704319973377146
40,60,#a2005c,-0.2769396048390864
41,61,#90006e,-0.13009212418126626
42,62,#880076,-0.06914822565563922
43,63,#7d0081,0.017963148562177178
44,64,#7a0084,0.03947186824308785
45,65,#860078,-0.05181638974936642
46,66,#8f006f,-0.12903720247870543
47,67,#7e0080,0.00890078086605145
48,68,#71008d,0.10593068953197565
49,69,#63009b,0.2159664110563606
50,70,#60009e,0.24554258303918908
51,71,#84007a,-0.041855589044686115
52,72,#6b0093,0.15777022031642757
53,73,#5900a5,0.29954917897923594
54,74,#5f009f,0.25294920542068833
55,75,#6a0094,0.16819626362529333
56,76,#750089,0.0782039341856462
57,77,#7e0080,0.008688295206794427
58,78,#70008e,0.11550325602650524
59,79,#6e0090,0.1333086278341138
60,80,#6d0091,0.14379371908566746
61,81,#950069,-0.17197203452720383
62,82,#9f005f,-0.25464620801408366
63,83,#a70057,-0.3127434510513393
64,84,#990065,-0.20626317374284858
65,85,#80007e,-0.010137769690668097
66,86,#860078,-0.053641456582633085
67,87,#7e0080,0.0058008378988076426
68,88,#7a0084,0.04273389506193559
69,89,#84007a,-0.03953314592748103
70,90,#7b0083,0.03190759377859104
71,91,#5d00a1,0.2647302331999448
72,92,#690095,0.17225848314821174
73,93,#760088,0.06921192323397302
74,94,#760088,0.07280785058562839
75,95,#660098,0.19670353502494037
76,96,#6f008f,0.12316487859966124
77,97,#82007c,-0.02204527507238746
78,98,#5800a6,0.30696798493408667
79,99,#64009a,0.2135212135212135
80,100,#5600a8,0.3242363371891668
81,101,#70008e,0.11406066882886812
82,102,#4e00b0,0.38505512454062885
83,103,#7d0081,0.018116694352159513
84,104,#770087,0.06261358826897706
85,105,#790085,0.04843022252889423
86,106,#790085,0.046047177632074776
87,107,#72008c,0.10512541971163342
88,108,#7b0083,0.028838358491294402
89,109,#970067,-0.18761667703795898
90,110,#880076,-0.06946500060657529
91,111,#8d0071,-0.10898351910069543
